date,level
1900-07-01,2136961091.67
1901-07-01,2143326933.89
1902-07-01,2158610445.89
1903-07-01,2202464781.89
1904-07-01,2264003585.14
1905-07-01,2274615063.84
1906-07-01,2337161839.04
1907-07-01,2457188061.54
1908-07-01,2626806271.54
1909-07-01,2639546241.04
1910-07-01,2652665838.04
1911-07-01,2765600606.69
1912-07-01,2868373874.16
1913-07-01,2916204913.66
1914-07-01,2912499269.16
1915-07-01,3058136873.16
1916-07-01,3609244262.16
1917-07-01,5717770279.52
1918-07-01,14592161414.0
1919-07-01,27390970113.12
1920-07-01,25952456406.16
1921-06-30,23977450552.54
1922-06-30,22963381708.31
1923-06-30,22349707365.36
1924-06-30,21250812989.49
1925-06-30,20516193887.9
1926-06-30,19643216315.19
1927-06-30,18511906931.85
1928-06-30,17604293201.43
1929-06-29,16931088484.1
1930-06-30,16185309831.43
1931-06-30,16801281491.71
1932-06-30,19487002444.13
1933-06-30,22538672560.15
1934-06-30,27053141414.48
1935-06-29,28700892624.53
1936-06-30,33778543493.73
1937-06-30,36424613732.29
1938-06-30,37164740315.45
1939-06-30,40439532411.11
1940-06-29,42967531037.68
1941-06-30,48961443535.71
1942-06-30,72422445116.22
1943-06-30,136696090329.9
1944-06-30,201003387221.13
1945-06-30,258682187409.93
1946-06-28,269422099173.26
1947-06-30,258286383108.67
1948-06-30,252292246512.99
1949-06-30,252770359860.33
1950-06-30,257357352351.04
1951-06-29,255221976814.93
1952-06-30,259105178785.43
1953-06-30,266071061638.57
1954-06-30,271259599108.46
1955-06-30,274374222802.62
1956-06-30,272750813649.32
1957-06-30,270527171896.43
1958-06-30,276343217745.81
1959-06-30,284705907078.22
1960-06-30,286330760848.37
1961-06-30,288970938610.05
1962-06-30,298200822720.87
1963-06-30,305859632996.41
1964-06-30,311712899257.3
1965-06-30,317273898983.64
1966-06-30,319907087795.48
1967-06-30,326220937794.54
1968-06-30,347578406425.88
1969-06-30,353720253841.41
1970-06-30,370918706949.93
1971-06-30,398129744455.54
1972-06-30,427260460940.5
1973-06-30,458141605312.09
1974-06-30,475059815731.55
1975-06-30,533189000000.0
1976-06-30,620433000000.0
1977-09-30,698840000000.0
1978-09-30,771544000000.0
1979-09-30,826519000000.0
1980-09-30,907701000000.0
1981-09-30,997855000000.0
1982-09-30,1142034000000.0
1983-09-30,1377210000000.0
1984-09-30,1572266000000.0
1985-09-30,1823103000000.0
1986-09-30,2125302616658.42
1987-09-30,2350276890953.0
1988-09-30,2602337712041.16
1989-09-29,2857430960187.32
1990-09-28,3233313451777.25
1991-09-30,3665303351697.03
1992-09-30,4064620655521.66
1993-09-30,4411488883139.38
1994-09-30,4692749910013.32
1995-09-29,4973982900709.39
1996-09-30,5224810939135.73
1997-09-30,5413146011397.34
1998-09-30,5526193008897.62
1999-09-30,5656270901615.43
2000-09-30,5674178209886.86
2001-09-30,5807463412200.06
2002-09-30,6228235965597.16
2003-09-30,6783231062743.62
2004-09-30,7379052696330.32
2005-09-30,7932709661723.5
2006-09-30,8506973899215.23
2007-09-30,9007653372262.48
2008-09-30,10024724896912.49
2009-09-30,11909829003511.75
2010-09-30,13561623030891.79
2011-09-30,14790340328557.15
2012-09-30,16066241407385.89
2013-09-30,16738183526697.32
2014-09-30,17824071380733.82
2015-09-30,18150617666484.33
2016-09-30,19573444713936.79
2017-09-30,20244900016053.51
2018-09-30,21516058183180.23
2019-09-30,22719401753433.78
2020-09-30,26945391194615.15
2021-09-30,28428918570048.68
2022-09-30,30928911613306.73
2023-09-30,33167334044723.16
2024-09-30,35464673929171.69
